日期,a,b
1-Aug-23,21-Aug-21,1-Aug-20
1-Jul-23,21-Jul-21,1-Jul-20
1-Jun-23,21-Jun-21,1-Jun-20
1-May-23,21-May-21,1-May-20
1-Apr-23,21-Apr-21,1-Apr-20
1-Mar-23,21-Mar-21,1-Mar-20
1-Feb-23,21-Feb-21,1-Feb-20
1-Jan-23,21-Jan-24,1-Jan-20
1-Dec-22,21-Dec-22,1-Dec-19
1-Nov-22,21-Nov-22,1-Nov-19
1-Oct-22,21-Oct-22,1-Oct-19
1-Sep-22,21-Sep-22,1-Sep-19
1-Aug-22,21-Aug-22,1-Aug-19
1-Jul-22,21-Jul-22,1-Jul-19
1-Jun-22,21-Jun-22,1-Jun-19
1-May-22,21-May-22,1-May-19
1-Apr-22,21-Apr-22,1-Apr-19
1-Mar-22,21-Mar-22,1-Mar-19
1-Feb-22,22-Feb-22,1-Feb-19
1-Jan-22,22-Jan-22,1-Aug-20
1-Dec-21,22-Dec-21,1-Jul-20
1-Nov-21,22-Nov-21,1-Jun-20
1-Oct-21,22-Oct-21,1-May-20
1-Sep-21,22-Sep-21,1-Apr-20
1-Aug-21,02-Aug-21,1-Mar-20
1-Jul-21,02-Jul-21,1-Feb-20
1-Jun-21,02-Jun-21,1-Jan-20
1-May-21,02-May-21,1-Dec-19
1-Apr-21,02-Apr-21,1-Nov-19
1-Mar-21,02-Mar-21,1-Oct-19
1-Feb-21,12-Feb-23,1-Sep-19
1-Jan-21,12-Jan-23,1-Aug-19
1-Dec-20,12-Dec-23,1-Jul-19
1-Nov-20,12-Nov-23,1-Jun-19
1-Oct-20,12-Oct-23,1-May-19
1-Sep-20,12-Sep-23,1-Apr-19
1-Aug-20,11-Aug-23,1-Mar-19
1-Jul-20,11-Jul-23,1-Feb-19
1-Jun-20,11-Jun-23,22-Oct-21
1-May-20,11-May-23,22-Sep-21
1-Apr-20,11-Apr-21,02-Aug-21
1-Mar-20,11-Mar-21,02-Jul-21
1-Feb-20,13-Feb-24,02-Jun-21
1-Jan-20,13-Jan-24,02-May-21
